fish_id,genotype,n_cell_track_rows,n_unique_tracks,fish_mean__net_displacement_3d_um,fish_median__net_displacement_3d_um,n_nonmissing__net_displacement_3d_um,fish_mean__directionality_ratio,fish_median__directionality_ratio,n_nonmissing__directionality_ratio,fish_mean__tortuosity,fish_median__tortuosity,n_nonmissing__tortuosity,fish_mean__mean_squared_displacement_3d_um2_per_min,fish_median__mean_squared_displacement_3d_um2_per_min,n_nonmissing__mean_squared_displacement_3d_um2_per_min,fish_mean__mean_speed_um_per_min,fish_median__mean_speed_um_per_min,n_nonmissing__mean_speed_um_per_min,fish_mean__median_speed_um_per_min,fish_median__median_speed_um_per_min,n_nonmissing__median_speed_um_per_min,fish_mean__mean_sphericity,fish_median__mean_sphericity,n_nonmissing__mean_sphericity,fish_mean__mean_elongation,fish_median__mean_elongation,n_nonmissing__mean_elongation,fish_mean__mean_volume_um3,fish_median__mean_volume_um3,n_nonmissing__mean_volume_um3
20240422_block01,MUT,217,217,7.453993353989794,5.523905612704132,217,0.2693133824390089,0.236085092825071,217,5.689138052893766,4.235760877714364,217,0.25240546312117096,0.2041920688238535,217,0.08409529386973556,0.0796542078968616,217,0.07239288543383263,0.067415960904968,217,0.6022714435463324,0.5994604988066541,217,0.5236571284331573,0.533867182494792,217,202.44646455306844,137.8446908480406,217
20240422_block06,MUT,172,172,6.727037198568081,5.159952476269959,172,0.27960226477267525,0.232652366123043,172,5.541364223549396,4.298259849826659,172,0.23339391880255167,0.1541604890074567,172,0.07690386163116714,0.06887700384722234,172,0.06471781006860024,0.057958658286435,172,0.6343681920480321,0.6280703502922089,172,0.5123432201465756,0.5258550908481252,172,150.77769508807577,82.88814577164729,172
260427_block06,MUT,596,596,10.6178501741332,7.1873284363050125,596,0.26318802741846037,0.1946390300899551,596,9.442055556853946,5.137739944011615,596,2.6888131534782373,0.9897645053722802,596,0.3634087407647444,0.2861769311588501,596,0.23280799716541914,0.17429657355827816,596,0.619303389666465,0.6206798213638953,596,0.6391196960549875,0.6784487264937072,596,205.3011916830599,112.92223416964784,596
260427_block07,MUT,640,640,11.892243215192558,9.03784867633239,640,0.27732029142357095,0.2224640274285089,640,8.234449007115973,4.495109025318602,640,2.7955770792898615,1.3190952599913208,640,0.37690803283396646,0.29300997568654125,640,0.23550307250544172,0.1814549249735691,640,0.6194692347882514,0.6196692537038944,640,0.6227278569256998,0.6470624650064812,640,236.62228098721303,141.60544326006158,640
260427_block08,MUT,899,899,12.574328932932941,10.07978917312622,899,0.2793004155562691,0.2077891978219313,899,8.100865889914537,4.812569712391729,899,3.1600210870506897,1.6440911774297855,899,0.3999773852357548,0.3351693393378167,899,0.24564942894494485,0.1854828705553931,899,0.6215135416606643,0.6178538054433347,899,0.6277580294831658,0.6548863257248737,899,222.88812736603728,138.55031776585852,899
260511_block07,MUT,675,675,12.066457454647223,7.995431171901319,675,0.2651591519894283,0.1933123500039227,675,9.201361556447482,5.172975239190397,675,3.3851472734626564,1.3132185144226929,675,0.44431834697400296,0.3428055388944998,675,0.28562227490210945,0.2116606050990587,675,0.6358086294453584,0.6289113890311122,675,0.6278394824078015,0.6530425116421027,675,232.9417679158335,150.69562522590522,675
20240325_block02,WT,558,558,10.028598719536811,7.565519819585504,558,0.34534660088560254,0.30419035564631874,558,5.396338354545821,3.2874156430407044,558,0.5404529155081246,0.33705209175748496,558,0.1741214509617289,0.1527989765333713,558,0.1458458441716119,0.12752429878306665,558,0.6260712234566369,0.6239149318763376,558,0.5926110634166367,0.6069041661397224,558,162.30145868525798,87.48297269248056,558
20240422_block08,WT,428,428,8.788249376991548,6.8934047679815444,428,0.29337492333227105,0.2474253984449967,428,6.332312302677297,4.041709905701118,428,0.3512428235513157,0.25381231986471764,428,0.09375348425441678,0.08663539594777325,428,0.07946368564821475,0.0712339145423205,428,0.6107190079676734,0.6107219159339479,428,0.5834257598213217,0.5933459437506675,428,201.49158908836114,114.72687369588206,428
20240422_block11,WT,452,452,9.197916124248929,8.123225446412704,452,0.302592979162011,0.24955516491609542,452,5.520958236653058,4.007131536178829,452,0.4888673941832268,0.3508242484120781,452,0.10827987101623683,0.10179156449680475,452,0.08738691627072084,0.0790152371963974,452,0.6132086396410129,0.611369672047227,452,0.6326214748472644,0.6556607846839089,452,171.7077739403796,86.65962116875903,452
260420_block03,WT,474,474,14.137328745401822,10.797538248812184,474,0.3243376865016168,0.2731343730085191,474,5.3844974586843675,3.661212235414095,474,3.2931066410109504,1.4478514847767459,474,0.4264516750582907,0.35097601946090834,474,0.3118088984686075,0.2521561302505825,474,0.6246049459560126,0.6309497263497338,474,0.5661353560044313,0.5767797846007752,474,222.79643835392727,132.0742729188127,474
