feature,outer_folds,top_k_frequency,model_feature_frequency,mean_absolute_coefficient_when_used,mean_signed_coefficient_when_used,nonzero_selection_frequency,mean_absolute_coefficient_when_selected
fish_median__mean_extent_3d,19,1.0,1.0,0.0,0.0,1.0,0.0
fish_median__mean_prolate_ellipticity,19,1.0,1.0,0.0,0.0,1.0,0.0
fish_mean__net_displacement_3d_um,19,0.9473684210526315,0.9473684210526315,0.0,0.0,0.9473684210526315,0.0
fish_median__tortuosity,19,0.9473684210526315,0.9473684210526315,0.0,0.0,0.9473684210526315,0.0
fish_median__mean_oblate_ellipticity,19,0.9473684210526315,0.9473684210526315,0.0,0.0,0.9473684210526315,0.0
fish_median__mean_sphericity,19,0.5789473684210527,0.5789473684210527,0.0,0.0,0.5789473684210527,0.0
fish_median__mean_volume_um3,19,0.5789473684210527,0.5789473684210527,0.0,0.0,0.5789473684210527,0.0
fish_mean__mean_solidity_3d,19,0.5789473684210527,0.5789473684210527,0.0,0.0,0.5789473684210527,0.0
fish_mean__tortuosity,19,0.47368421052631576,0.47368421052631576,0.0,0.0,0.47368421052631576,0.0
fish_mean__mean_volume_um3,19,0.47368421052631576,0.47368421052631576,0.0,0.0,0.47368421052631576,0.0
fish_mean__mean_sphericity,19,0.2631578947368421,0.2631578947368421,0.0,0.0,0.2631578947368421,0.0
fish_median__mean_aspect_ratio_3d,19,0.10526315789473684,0.10526315789473684,0.0,0.0,0.10526315789473684,0.0
fish_mean__mean_squared_displacement_3d_um2_per_min,19,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0
fish_median__mean_surface_area_um2,19,0.05263157894736842,0.05263157894736842,0.0,0.0,0.05263157894736842,0.0
fish_median__net_displacement_3d_um,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__directionality_ratio,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__directionality_ratio,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__mean_squared_displacement_3d_um2_per_min,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__mean_speed_um_per_min,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__mean_speed_um_per_min,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__median_speed_um_per_min,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__median_speed_um_per_min,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__mean_elongation,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__mean_elongation,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__mean_surface_area_um2,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__median_surface_area_um2,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__median_surface_area_um2,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__mean_surface_area_to_volume,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__mean_surface_area_to_volume,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__mean_solidity_3d,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__mean_extent_3d,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__mean_aspect_ratio_3d,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__mean_prolate_ellipticity,19,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__mean_oblate_ellipticity,19,0.0,0.0,0.0,0.0,0.0,0.0
