feature,outer_folds,top_k_frequency,model_feature_frequency,mean_absolute_coefficient_when_used,mean_signed_coefficient_when_used,nonzero_selection_frequency,mean_absolute_coefficient_when_selected
fish_mean__tortuosity,14,1.0,1.0,0.0,0.0,1.0,0.0
fish_median__mean_elongation,14,1.0,1.0,0.0,0.0,1.0,0.0
fish_mean__injury_median_min_abs_distance_to_injury_um,14,1.0,1.0,0.0,0.0,1.0,0.0
fish_mean__injury_entries_per_track,14,1.0,1.0,0.0,0.0,1.0,0.0
fish_mean__injury_mean_fraction_detections_inside,14,0.9285714285714286,0.9285714285714286,0.0,0.0,0.9285714285714286,0.0
fish_median__mean_sphericity,14,0.8571428571428571,0.8571428571428571,0.0,0.0,0.8571428571428571,0.0
fish_mean__injury_exits_per_track,14,0.7857142857142857,0.7857142857142857,0.0,0.0,0.7857142857142857,0.0
fish_median__mean_volume_um3,14,0.6428571428571429,0.6428571428571429,0.0,0.0,0.6428571428571429,0.0
fish_mean__median_speed_um_per_min,14,0.21428571428571427,0.21428571428571427,0.0,0.0,0.21428571428571427,0.0
fish_mean__net_displacement_3d_um,14,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
fish_mean__mean_squared_displacement_3d_um2_per_min,14,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
fish_mean__injury_median_net_approach_um,14,0.14285714285714285,0.14285714285714285,0.0,0.0,0.14285714285714285,0.0
fish_mean__mean_speed_um_per_min,14,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0
fish_mean__mean_sphericity,14,0.07142857142857142,0.07142857142857142,0.0,0.0,0.07142857142857142,0.0
fish_median__net_displacement_3d_um,14,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__directionality_ratio,14,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__directionality_ratio,14,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__tortuosity,14,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__mean_squared_displacement_3d_um2_per_min,14,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__mean_speed_um_per_min,14,0.0,0.0,0.0,0.0,0.0,0.0
fish_median__median_speed_um_per_min,14,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__mean_elongation,14,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__mean_volume_um3,14,0.0,0.0,0.0,0.0,0.0,0.0
fish_mean__injury_mean_fraction_steps_toward,14,0.0,0.0,0.0,0.0,0.0,0.0
