feature,outer_folds,top_k_frequency,nonzero_selection_frequency,mean_absolute_coefficient_when_selected,mean_signed_coefficient_when_selected
fish_median__mean_sphericity,16,1.0,1.0,2.0683936221201638,-2.0683936221201638
fish_mean__tortuosity,16,1.0,1.0,1.9326462193364011,1.9326462193364011
fish_median__mean_elongation,16,1.0,0.75,0.7793390584446409,-0.7793390584446409
fish_median__mean_volume_um3,16,1.0,0.25,2.50656927130244,2.50656927130244
fish_mean__mean_squared_displacement_3d_um2_per_min,16,1.0,0.1875,0.32739894619632787,0.32739894619632787
fish_mean__net_displacement_3d_um,16,1.0,0.0625,0.7832436348060448,0.7832436348060448
fish_median__median_speed_um_per_min,16,0.875,0.0625,0.36474693608902936,-0.36474693608902936
fish_median__net_displacement_3d_um,16,0.0,0.0,0.0,0.0
fish_mean__directionality_ratio,16,0.0,0.0,0.0,0.0
fish_median__directionality_ratio,16,0.0,0.0,0.0,0.0
fish_median__tortuosity,16,0.0,0.0,0.0,0.0
fish_median__mean_squared_displacement_3d_um2_per_min,16,0.0,0.0,0.0,0.0
fish_mean__mean_speed_um_per_min,16,0.0,0.0,0.0,0.0
fish_median__mean_speed_um_per_min,16,0.0,0.0,0.0,0.0
fish_mean__median_speed_um_per_min,16,0.0,0.0,0.0,0.0
fish_mean__mean_sphericity,16,0.0,0.0,0.0,0.0
fish_mean__mean_elongation,16,0.0,0.0,0.0,0.0
fish_mean__mean_volume_um3,16,0.0,0.0,0.0,0.0
